,seed,RMSE,opt
0,0,0.0318680429896771,0
1,1,0.029708967850951732,0
2,2,0.032916073608674816,0
3,3,0.07409719365960311,0
4,4,0.03444618220799271,0
5,5,0.02677942899771597,0
6,6,0.04223718729626603,0
7,7,0.09996040591829287,0
8,8,0.04406396727344586,0
9,9,0.03997145832261081,0
10,10,0.03299066419352426,0
11,11,0.050544479631917,0
12,12,0.0374973627307542,0
13,13,0.03262179540295721,0
14,14,0.02761487502673317,0
15,15,0.03427520957898733,0
16,16,0.02978026793532654,0
17,17,0.04144651771851989,0
18,18,0.02625924809836351,0
19,19,0.041994791906390834,0
20,20,0.02998798535933438,0
21,21,0.029669455311650012,0
22,22,0.05262834108117102,0
23,23,0.06804195072242017,0
24,24,0.035768311540854095,0
25,25,0.0335640062028947,0
26,26,0.030980050378861514,0
27,27,0.04537552728648185,0
28,28,0.05636112562678577,0
29,29,0.03265556133666429,0
30,30,0.07837715598255804,0
31,31,0.10384083340302726,0
32,32,0.08895513021621962,0
33,33,0.07974229556668438,0
34,34,0.03737298512117979,0
35,35,0.03494411234318036,0
36,36,0.03326571738696449,0
37,37,0.03423112003648188,0
38,38,0.029288558757375825,0
39,39,0.04842576321592831,0
40,40,0.037506751375226195,0
41,41,0.03218020375665195,0
42,42,0.033864695823670625,0
43,43,0.05621221999102255,0
44,44,0.05639853696119646,0
45,45,0.04077412307705503,0
46,46,0.039125919036985285,0
47,47,0.03804394522821278,0
48,48,0.048278701904424695,0
49,49,0.029267930037929893,0
50,50,0.04519880273478352,0
51,51,0.042759198314626365,0
52,52,0.07917102999799376,0
53,53,0.06144520632009617,0
54,54,0.06782091578863729,0
55,55,0.0622738613656057,0
56,56,0.03262439104168854,0
57,57,0.06951037902800998,0
58,58,0.05799980141014693,0
59,59,0.06430175529969999,0
60,60,0.07356415483682052,0
61,61,0.031863322767549905,0
62,62,0.05429338426553411,0
63,63,0.0349369986109388,0
64,64,0.03069294837278553,0
65,65,0.03451607400098198,0
66,66,0.0603576169113503,0
67,67,0.042634051243863304,0
68,68,0.04153351889237095,0
69,69,0.05747655563946389,0
70,70,0.04381943373756889,0
71,71,0.059301236422401,0
72,72,0.054371186803232455,0
73,73,0.0484396210899377,0
74,74,0.03324828458360539,0
75,75,0.036319242438850846,0
76,76,0.06022507172144163,0
77,77,0.03230534963684791,0
78,78,0.03652852319907763,0
79,79,0.035166428885825475,0
80,80,0.028012644501925504,0
81,81,0.03213104281190647,0
82,82,0.03804469567715744,0
83,83,0.04431942965815696,0
84,84,0.03466636238774994,0
85,85,0.051993649494393855,0
86,86,0.05246219751606839,0
87,87,0.0351018684493411,0
88,88,0.062046211349037365,0
89,89,0.053978169994797195,0
90,90,0.03358560755175583,0
91,91,0.06641385801416166,0
92,92,0.05326402623724561,0
93,93,0.038723025562122634,0
94,94,0.04250258066468659,0
95,95,0.03563975082832337,0
96,96,0.039677980337621835,0
97,97,0.032867943854379016,0
98,98,0.08677815134265399,0
99,99,0.04957077490489028,0
100,100,0.03266833991279347,0
101,101,0.03759308473268785,0
102,102,0.04216288728802473,0
103,103,0.04248997173785006,0
104,104,0.02661519582413483,0
105,105,0.10883115104271078,0
106,106,0.029589083509181394,0
107,107,0.03435312904676269,0
108,108,0.031121169737788605,0
109,109,0.05543818220749523,0
110,110,0.09105357017923027,0
111,111,0.05268836720285543,0
112,112,0.03150904204725879,0
113,113,0.057804730649316884,0
114,114,0.03916867570716092,0
115,115,0.03911114624643222,0
116,116,0.030809288469000592,0
117,117,0.03659757954296448,0
118,118,0.03464389978335475,0
119,119,0.061620358749153045,0
120,120,0.044450836538492,0
121,121,0.03665454563088263,0
122,122,0.04303782317733059,0
123,123,0.033192007364421475,0
124,124,0.03704994257177362,0
125,125,0.05905760299915652,0
126,126,0.0417185269582869,0
127,127,0.03523789433657577,0
128,128,0.030718505930526163,0
129,129,0.030816788812926366,0
130,130,0.04487411498397763,0
131,131,0.07259643705831059,0
132,132,0.0336205120086933,0
133,133,0.041284548340416054,0
134,134,0.039086594300290836,0
135,135,0.0508638685400912,0
136,136,0.05093375224967383,0
137,137,0.0348784351805195,0
138,138,0.03964347401266634,0
139,139,0.04047560264411393,0
140,140,0.06300419741448135,0
141,141,0.044214634549851826,0
142,142,0.037101595161516315,0
143,143,0.03745956901538003,0
144,144,0.05821009186975923,0
145,145,0.035212444472216914,0
